ImageNumber,Count_Nuclei,FileName_Dna,FileName_Overlay,ImageQuality_PowerLogLogSlope_Dna,Mean_Nuclei_AreaShape_Area,Mean_Nuclei_Intensity_IntegratedIntensity_Dna,Mean_Nuclei_Intensity_MaxIntensity_Dna,Mean_Nuclei_Intensity_MeanIntensity_Dna,Metadata_gene,Metadata_plate,Metadata_posNum,Metadata_rootPath,Metadata_siRNA,Metadata_timeNum,Metadata_wellNum,PathName_Dna,PathName_Overlay,Metadata_gene_siRNA,Metadata_batch_treatment,HTM_qc,HTM_norm__log2__Count_Nuclei,HTM_norm__log2__subtract_mean_ctrl__Count_Nuclei,HTM_norm__log2__Mean_Nuclei_Intensity_MaxIntensity_Dna,HTM_norm__log2__subtract_mean_ctrl__Mean_Nuclei_Intensity_MaxIntensity_Dna,HTM__subtract_mean_ctrl__length,HTM__subtract_mean_ctrl__cosine,HTM__subtract_mean_ctrl__projection
30,335,EMBO_2012_Group1--empty--empty--W0028--P001--T00090--Z000--C01.ome.tif,EMBO_2012_Group1--empty--empty--W0028--P001--T00090--Z000--C01.ome.png,-1.250013826,556.4179104,7.668558259,0.021129062,0.013366184,empty,EMBO_2012_Group1,1,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012,empty,90,28,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012/EMBO_2012_Group1/W00028--empty--empty/P00001--empty--empty,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012--cp/images,empty_empty,EMBO_2012_Group1__empty_empty,TRUE,8.388017285,0.058665307,-5.564627497,-0.022613384,0.062872755,-0.110981255,NA
31,464,EMBO_2012_Group1--empty--empty--W0025--P001--T00090--Z000--C01.ome.tif,EMBO_2012_Group1--empty--empty--W0025--P001--T00090--Z000--C01.ome.png,-1.340899506,568.4094828,7.04349068,0.01711159,0.011726676,empty,EMBO_2012_Group1,1,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012,empty,90,25,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012/EMBO_2012_Group1/W00025--empty--empty/P00001--empty--empty,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012--cp/images,empty_empty,EMBO_2012_Group1__empty_empty,TRUE,8.857980995,0.528629017,-5.868882353,-0.32686824,0.621523518,0.074597084,NA
32,342,EMBO_2012_Group1--empty--empty--W0027--P001--T00090--Z000--C01.ome.tif,EMBO_2012_Group1--empty--empty--W0027--P001--T00090--Z000--C01.ome.png,-1.220797961,564.5994152,7.032440257,0.01777328,0.012007654,empty,EMBO_2012_Group1,1,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012,empty,90,27,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012/EMBO_2012_Group1/W00027--empty--empty/P00001--empty--empty,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012--cp/images,empty_empty,EMBO_2012_Group1__empty_empty,TRUE,8.417852515,0.088500536,-5.814146266,-0.272132153,0.286161237,0.701321401,NA
33,146,EMBO_2012_Group2--s7903--KIF11--W0011--P001--T00090--Z000--C01.ome.tif,EMBO_2012_Group2--s7903--KIF11--W0011--P001--T00090--Z000--C01.ome.png,-0.914117095,541.7465753,6.821659721,0.028137011,0.012483653,KIF11,EMBO_2012_Group2,1,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012,s7903,90,11,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012/EMBO_2012_Group2/W00011--s7903--KIF11/P00001--s7903--KIF11,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012--cp/images,KIF11_s7903,EMBO_2012_Group2__KIF11_s7903,TRUE,7.189824559,-0.961718742,-5.151387107,1.160037493,1.506847678,0.999346021,NA
34,207,EMBO_2012_Group2--empty--empty--W0010--P001--T00090--Z000--C01.ome.tif,EMBO_2012_Group2--empty--empty--W0010--P001--T00090--Z000--C01.ome.png,-1.505210816,651.2898551,6.498223431,0.015094355,0.009618167,empty,EMBO_2012_Group2,1,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012,empty,90,10,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012/EMBO_2012_Group2/W00010--empty--empty/P00001--empty--empty,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012--cp/images,empty_empty,EMBO_2012_Group2__empty_empty,TRUE,7.693486957,-0.458056344,-6.049847069,0.261577531,0.527483098,0.851981449,NA
35,237,EMBO_2012_Group2--empty--empty--W0012--P001--T00090--Z000--C01.ome.tif,EMBO_2012_Group2--empty--empty--W0012--P001--T00090--Z000--C01.ome.png,-1.341941051,662.0590717,7.189718329,0.018148841,0.010541021,empty,EMBO_2012_Group2,1,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012,empty,90,12,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012/EMBO_2012_Group2/W00012--empty--empty/P00001--empty--empty,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012--cp/images,empty_empty,EMBO_2012_Group2__empty_empty,TRUE,7.888743249,-0.262800052,-5.783978792,0.527445808,0.589290207,0.416940605,NA
36,307,EMBO_2012_Group2--s444246--XWNeg9--W0009--P001--T00090--Z000--C01.ome.tif,EMBO_2012_Group2--s444246--XWNeg9--W0009--P001--T00090--Z000--C01.ome.png,-1.598452125,692.6514658,6.228275942,0.012535775,0.008563961,XWNeg9,EMBO_2012_Group2,1,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012,s444246,90,9,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012/EMBO_2012_Group2/W00009--s444246--XWNeg9/P00001--s444246--XWNeg9,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012--cp/images,XWNeg9_s444246,EMBO_2012_Group2__XWNeg9_s444246,TRUE,8.262094845,0.110551544,-6.317805028,-0.006380428,0.110735513,-0.918709083,NA
37,299,EMBO_2012_Group1--empty--empty--W0077--P001--T00090--Z000--C01.ome.tif,EMBO_2012_Group1--empty--empty--W0077--P001--T00090--Z000--C01.ome.png,-1.445807574,540.9531773,6.910279771,0.017875619,0.012304193,empty,EMBO_2012_Group1,1,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012,empty,90,77,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012/EMBO_2012_Group1/W00077--empty--empty/P00001--empty--empty,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012--cp/images,empty_empty,EMBO_2012_Group1__empty_empty,TRUE,8.224001674,-0.105350304,-5.805863009,-0.263848896,0.284103725,0.995080182,NA
38,307,EMBO_2012_Group1--empty--empty--W0080--P001--T00090--Z000--C01.ome.tif,EMBO_2012_Group1--empty--empty--W0080--P001--T00090--Z000--C01.ome.png,-1.234426134,573.0358306,7.276548666,0.019150378,0.012548493,empty,EMBO_2012_Group1,1,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012,empty,90,80,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012/EMBO_2012_Group1/W00080--empty--empty/P00001--empty--empty,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012--cp/images,empty_empty,EMBO_2012_Group1__empty_empty,TRUE,8.262094845,-0.067257133,-5.706483301,-0.164469188,0.177689718,0.995867919,NA
39,195,EMBO_2012_Group1--s7903--KIF11--W0078--P001--T00090--Z000--C01.ome.tif,EMBO_2012_Group1--s7903--KIF11--W0078--P001--T00090--Z000--C01.ome.png,-1.268531114,508.6974359,9.03585086,0.031622794,0.017027841,KIF11,EMBO_2012_Group1,1,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012,s7903,90,78,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012/EMBO_2012_Group1/W00078--s7903--KIF11/P00001--s7903--KIF11,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012--cp/images,KIF11_s7903,EMBO_2012_Group1__KIF11_s7903,TRUE,7.607330314,-0.722021665,-4.982891361,0.559122752,0.913199615,0.996315042,NA
